"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BOM";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SPICEPREFIX";"TP_SIGNAL_NAME";"URL";"VALUE";"VENDOR";
"C32";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C33";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C34";"5.6uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C35";"5.6uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C36";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C37";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C38";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C39";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C40";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C41";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C42";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C43";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C44";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C45";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C46";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C47";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C48";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C49";"10nF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C50";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C51";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C52";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C53";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C54";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C55";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C56";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C57";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C58";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C59";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C60";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C61";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C62";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C63";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C64";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C65";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C66";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C67";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C68";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C69";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C70";"0.1uF";"NON_POL_0805/2012";"0805_H0.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
